City,Date,Score
Vancouver,2016-01-01,0.44401744814241884
Portland,2016-01-01,0.411341772514501
San Francisco,2016-01-01,0.5068443206383808
Seattle,2016-01-01,0.40012080173095776
Los Angeles,2016-01-01,0.43097996684015294
San Diego,2016-01-01,0.39459109506078444
Las Vegas,2016-01-01,0.5372682635653341
Phoenix,2016-01-01,0.4430847825428468
Albuquerque,2016-01-01,0.44443621353331114
Denver,2016-01-01,0.4919051438580131
San Antonio,2016-01-01,0.39169735485308754
Dallas,2016-01-01,0.5469610269832762
Houston,2016-01-01,0.46244125198672525
Kansas City,2016-01-01,0.3917907129249594
Minneapolis,2016-01-01,0.4620794629703802
Chicago,2016-01-01,0.5248584748421111
Nashville,2016-01-01,0.5175479831783906
Indianapolis,2016-01-01,0.5843311968812761
Atlanta,2016-01-01,0.5247326599852575
Detroit,2016-01-01,0.4555315752038346
Jacksonville,2016-01-01,0.5726481899609711
Charlotte,2016-01-01,0.46611468072492723
Miami,2016-01-01,0.4996196732170648
Pittsburgh,2016-01-01,0.45216777383634504
Philadelphia,2016-01-01,0.49043407734598476
New York,2016-01-01,0.3669640220032032
Boston,2016-01-01,0.4481923091379685
Vancouver,2016-01-02,0.4883822209645077
Portland,2016-01-02,0.48154740476593133
San Francisco,2016-01-02,0.4842234163380549
Seattle,2016-01-02,0.5046615783109003
Los Angeles,2016-01-02,0.3203693747804276
San Diego,2016-01-02,0.44287926847756476
Las Vegas,2016-01-02,0.3527454407997328
Phoenix,2016-01-02,0.47789502332733924
Albuquerque,2016-01-02,0.4287431225229419
Denver,2016-01-02,0.48865226523709315
San Antonio,2016-01-02,0.42550627031073984
Dallas,2016-01-02,0.40717428797099375
Houston,2016-01-02,0.42911496769092927
Kansas City,2016-01-02,0.4961285527086803
Minneapolis,2016-01-02,0.4917410467551664
Chicago,2016-01-02,0.4403425759660782
Nashville,2016-01-02,0.4764995096948233
Indianapolis,2016-01-02,0.4851622633616651
Atlanta,2016-01-02,0.48094084107456225
Detroit,2016-01-02,0.4566817345245226
Jacksonville,2016-01-02,0.5002651866991369
Charlotte,2016-01-02,0.40900459599293804
Miami,2016-01-02,0.4753208241000192
Pittsburgh,2016-01-02,0.49883615995385544
Philadelphia,2016-01-02,0.49874509688159385
New York,2016-01-02,0.3846202885719
Boston,2016-01-02,0.48178106556660677
Vancouver,2016-01-03,0.5854566685222837
Portland,2016-01-03,0.4225146282055852
San Francisco,2016-01-03,0.4833067833204877
Seattle,2016-01-03,0.45370373303944433
Los Angeles,2016-01-03,0.5415536581664506
San Diego,2016-01-03,0.43664296669078917
Las Vegas,2016-01-03,0.36923464065534983
Phoenix,2016-01-03,0.486730054685005
Albuquerque,2016-01-03,0.4226461293645618
Denver,2016-01-03,0.4493547163087127
San Antonio,2016-01-03,0.4275355174362238
Dallas,2016-01-03,0.5078637815630432
Houston,2016-01-03,0.459186955206635
Kansas City,2016-01-03,0.50080888801785
Minneapolis,2016-01-03,0.5027859170752486
Chicago,2016-01-03,0.4430144959839655
Nashville,2016-01-03,0.4453352401128937
Indianapolis,2016-01-03,0.5126716246095522
Atlanta,2016-01-03,0.5011132041177921
Detroit,2016-01-03,0.6027922694844072
Jacksonville,2016-01-03,0.4593757334140402
Charlotte,2016-01-03,0.4393693855841564
Miami,2016-01-03,0.5397729601840169
Pittsburgh,2016-01-03,0.47018205972378
Philadelphia,2016-01-03,0.48100442398662263
New York,2016-01-03,0.3543516631133693
Boston,2016-01-03,0.43251485035909853
Vancouver,2016-01-04,0.5129779006481461
Portland,2016-01-04,0.4329560402040375
San Francisco,2016-01-04,0.4721566928741653
Seattle,2016-01-04,0.6092979390210278
Los Angeles,2016-01-04,0.48539553267309243
San Diego,2016-01-04,0.5359352468689594
Las Vegas,2016-01-04,0.486780533016849
Phoenix,2016-01-04,0.41728421729669457
Albuquerque,2016-01-04,0.4831350741007415
Denver,2016-01-04,0.5110316745744782
San Antonio,2016-01-04,0.509276107061962
Dallas,2016-01-04,0.5222733625346215
Houston,2016-01-04,0.4851413684952605
Kansas City,2016-01-04,0.5073050838295509
Minneapolis,2016-01-04,0.5590155701302301
Chicago,2016-01-04,0.46763529732834536
Nashville,2016-01-04,0.34284604950817754
Indianapolis,2016-01-04,0.4952377683914652
Atlanta,2016-01-04,0.46384036010290686
Detroit,2016-01-04,0.49925709321905176
Jacksonville,2016-01-04,0.5220818664746354
Charlotte,2016-01-04,0.4421765088065256
Miami,2016-01-04,0.4789707375157007
Pittsburgh,2016-01-04,0.5211776698354106
Philadelphia,2016-01-04,0.44056503596305807
New York,2016-01-04,0.4888391835619558
Boston,2016-01-04,0.4816537178784276
Vancouver,2016-01-05,0.592610373942121
Portland,2016-01-05,0.3712091225734517
San Francisco,2016-01-05,0.6354057681855174
Seattle,2016-01-05,0.5514393737466661
Los Angeles,2016-01-05,0.4978018597122789
San Diego,2016-01-05,0.43870592263009744
Las Vegas,2016-01-05,0.5008244207718832
Phoenix,2016-01-05,0.4579262240106012
Albuquerque,2016-01-05,0.5171535055646709
Denver,2016-01-05,0.44688338119896664
San Antonio,2016-01-05,0.5166172036793066
Dallas,2016-01-05,0.45539900975517034
Houston,2016-01-05,0.41559965656249936
Kansas City,2016-01-05,0.5268903752503347
Minneapolis,2016-01-05,0.5504829429276803
Chicago,2016-01-05,0.4244022424146472
Nashville,2016-01-05,0.48256078881545883
Indianapolis,2016-01-05,0.5352004762098702
Atlanta,2016-01-05,0.4884527098214835
Detroit,2016-01-05,0.4739035528966914
Jacksonville,2016-01-05,0.47347394657915587
Charlotte,2016-01-05,0.4901752453949091
Miami,2016-01-05,0.45568605282035246
Pittsburgh,2016-01-05,0.3733115423838306
Philadelphia,2016-01-05,0.45527557047314515
New York,2016-01-05,0.44455678507221086
Boston,2016-01-05,0.5262830866656184
Vancouver,2016-01-06,0.3750594906986162
Portland,2016-01-06,0.3972792628632151
San Francisco,2016-01-06,0.48463422855486216
Seattle,2016-01-06,0.523338318289507
Los Angeles,2016-01-06,0.4820082374410002
San Diego,2016-01-06,0.4726011463661124
Las Vegas,2016-01-06,0.5005068892791437
Phoenix,2016-01-06,0.5640799825483874
Albuquerque,2016-01-06,0.49115115324740266
Denver,2016-01-06,0.43555267153267163
San Antonio,2016-01-06,0.5904724478818388
Dallas,2016-01-06,0.4091688922136514
Houston,2016-01-06,0.47745670583810407
Kansas City,2016-01-06,0.46695185063189715
Minneapolis,2016-01-06,0.4391999473102409
Chicago,2016-01-06,0.4851668278387873
Nashville,2016-01-06,0.43375806853718607
Indianapolis,2016-01-06,0.458833108096807
Atlanta,2016-01-06,0.461039595973603
Detroit,2016-01-06,0.42877113448091775
Jacksonville,2016-01-06,0.47278993056528096
Charlotte,2016-01-06,0.4819950540345689
Miami,2016-01-06,0.4655096112677253
Pittsburgh,2016-01-06,0.4979762396569519
Philadelphia,2016-01-06,0.38531036118185785
New York,2016-01-06,0.3552078284577952
Boston,2016-01-06,0.39969028599885864
Vancouver,2016-01-07,0.4842967465577872
Portland,2016-01-07,0.3954314093531402
San Francisco,2016-01-07,0.40882682319308505
Seattle,2016-01-07,0.5240631644770742
Los Angeles,2016-01-07,0.4329512268695155
San Diego,2016-01-07,0.5255194067132329
Las Vegas,2016-01-07,0.556218002677451
Phoenix,2016-01-07,0.4656697358476709
Albuquerque,2016-01-07,0.5475919417179368
Denver,2016-01-07,0.4470208240612457
San Antonio,2016-01-07,0.49646368314174455
Dallas,2016-01-07,0.49224114029891375
Houston,2016-01-07,0.47121590536616176
Kansas City,2016-01-07,0.49877035673123815
Minneapolis,2016-01-07,0.44600706171609233
Chicago,2016-01-07,0.5122359119944262
Nashville,2016-01-07,0.4067972515883655
Indianapolis,2016-01-07,0.4085669837280256
Atlanta,2016-01-07,0.4318772897707196
Detroit,2016-01-07,0.43145784271010434
Jacksonville,2016-01-07,0.4659504751976352
Charlotte,2016-01-07,0.4592283724334463
Miami,2016-01-07,0.474139518055564
Pittsburgh,2016-01-07,0.4677445115297011
Philadelphia,2016-01-07,0.45038135834933735
New York,2016-01-07,0.3321019305721164
Boston,2016-01-07,0.40442636263099074
Vancouver,2016-01-08,0.5169696679547089
Portland,2016-01-08,0.4134150785682386
San Francisco,2016-01-08,0.4914121147579229
Seattle,2016-01-08,0.5879146607969902
Los Angeles,2016-01-08,0.47299623681026587
San Diego,2016-01-08,0.4724812760022516
Las Vegas,2016-01-08,0.45044029696233445
Phoenix,2016-01-08,0.4413116269975128
Albuquerque,2016-01-08,0.4767084679073542
Denver,2016-01-08,0.4894155150410139
San Antonio,2016-01-08,0.5250144737644643
Dallas,2016-01-08,0.5272484113991681
Houston,2016-01-08,0.4902165702728062
Kansas City,2016-01-08,0.6074700940248621
Minneapolis,2016-01-08,0.5052042035867489
Chicago,2016-01-08,0.4693580618228729
Nashville,2016-01-08,0.4104585384383186
Indianapolis,2016-01-08,0.5585891165576794
Atlanta,2016-01-08,0.5539782756818294
Detroit,2016-01-08,0.437754340770271
Jacksonville,2016-01-08,0.5628554728104824
Charlotte,2016-01-08,0.4706342961923784
Miami,2016-01-08,0.4051346667040867
Pittsburgh,2016-01-08,0.4964696276663231
Philadelphia,2016-01-08,0.4856124377863815
New York,2016-01-08,0.4539487597805273
Boston,2016-01-08,0.5217447600240176
Vancouver,2016-01-09,0.43600969259414624
Portland,2016-01-09,0.4799486048156921
San Francisco,2016-01-09,0.4009771931929562
Seattle,2016-01-09,0.5349904550163429
Los Angeles,2016-01-09,0.49461596794440765
San Diego,2016-01-09,0.5060610761537699
Las Vegas,2016-01-09,0.4031461035174471
Phoenix,2016-01-09,0.4630411803908769
