Severity,Start_Time,End_Time,Distance(mi),City,County,State,Timezone,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
3,2016-02-08 05:46:00,2016-02-08 11:00:00,0.01,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
2,2016-02-08 06:07:59,2016-02-08 06:37:59,0.01,Reynoldsburg,Franklin,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
2,2016-02-08 06:49:27,2016-02-08 07:19:27,0.01,Williamsburg,Clermont,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
3,2016-02-08 07:23:34,2016-02-08 07:53:34,0.01,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
2,2016-02-08 07:39:07,2016-02-08 08:09:07,0.01,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
3,2016-02-08 07:44:26,2016-02-08 08:14:26,0.01,Westerville,Franklin,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2,2016-02-08 07:59:35,2016-02-08 08:29:35,0.0,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3,2016-02-08 07:59:58,2016-02-08 08:29:58,0.01,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2,2016-02-08 08:00:40,2016-02-08 08:30:40,0.0,Dayton,Montgomery,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3,2016-02-08 08:10:04,2016-02-08 08:40:04,0.01,Westerville,Franklin,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3,2016-02-08 08:14:42,2016-02-08 08:44:42,0.01,Columbus,Franklin,OH,US/Eastern,False,False,True,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
3,2016-02-08 08:21:27,2016-02-08 08:51:27,0.01,Reynoldsburg,Franklin,OH,US/Eastern,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
